scene_id,gt_object_id,gt_category,class_id,gt_room_id,predicted_room_id,gt_x,gt_y,gt_z,observed_in_walk,assigned
00847-bCPU9suPUw9,2,light,282,1,1_3,6.439539001500287,5.03757502781767,-0.6742167023920126,1,1
00847-bCPU9suPUw9,11,chair,97,1,1_3,5.099918298020673,3.3381512328960627,-0.5132663826325194,1,1
00847-bCPU9suPUw9,12,bed,33,1,1_3,6.167708712952154,3.4041081349618016,-1.5773673467397404,1,1
00847-bCPU9suPUw9,13,bed,33,1,1_3,7.688295670548395,3.497421484304407,-1.0259800607879128,1,1
00847-bCPU9suPUw9,14,box,53,1,1_3,5.842321687814485,3.2110781896108347,0.6575719073520495,1,1
00847-bCPU9suPUw9,15,box,53,1,1_3,7.779699794019225,3.2294961312611816,0.6294261432496111,1,1
00847-bCPU9suPUw9,16,box,53,1,0_0,0.0,0.0,0.0,0,1
00847-bCPU9suPUw9,17,box,53,1,1_3,7.27382697780514,3.1212287053752537,1.028734677485559,1,1
00847-bCPU9suPUw9,18,desk,142,1,1_3,6.850314915568612,3.538873469883906,0.7096001327021916,1,1
00847-bCPU9suPUw9,19,bin,42,1,1_3,6.571433728900867,3.0728434910933133,0.8416035777786317,1,1
00847-bCPU9suPUw9,20,chair,97,1,1_3,6.9462533675785965,3.351117986189608,0.44820259070580915,1,1
00847-bCPU9suPUw9,21,shelf,405,1,1_3,5.907498245824857,4.792554224984726,0.8526207580162453,1,1
00847-bCPU9suPUw9,22,shelf,405,1,1_3,6.056452940456766,4.390479468946167,0.8389237329261042,1,1
00847-bCPU9suPUw9,23,shelf,405,1,1_3,7.7172365865256625,4.791942940789823,0.8459905876105588,1,1
00847-bCPU9suPUw9,24,shelf,405,1,1_3,7.636395644494577,4.3890012115215224,0.8503055180545412,1,1
00847-bCPU9suPUw9,25,tv,510,1,1_3,6.853646106825319,4.519529018895446,0.7760038066659359,1,1
00847-bCPU9suPUw9,40,cabinet,64,2,1_1,5.973941037435261,3.160666088584965,2.2547628638941064,1,1
00847-bCPU9suPUw9,42,tv,510,2,1_1,8.120658022655077,4.712968264423671,3.392568852410535,1,1
00847-bCPU9suPUw9,43,bed,33,2,1_1,7.089127949010815,3.436711705380726,3.3847649558216983,1,1
00847-bCPU9suPUw9,44,box,53,2,1_1,7.877758168623557,3.226743555573642,2.378320838236582,1,1
00847-bCPU9suPUw9,46,electrical device,169,2,,5.674351738788612,3.3278598217221145,2.552747582853274,1,0
00847-bCPU9suPUw9,47,desk,142,2,1_1,7.139924172208866,3.538127689963711,1.4281176791894779,1,1
00847-bCPU9suPUw9,48,chair,97,2,1_1,7.1948893824447415,3.4002324246122955,1.6441497291417997,1,1
00847-bCPU9suPUw9,49,light,282,2,1_1,8.105338309637244,3.8645823132602977,1.352507376461451,1,1
00847-bCPU9suPUw9,62,window shade,542,3,1_4,-1.6399467383796578,4.08942939411044,-0.5032477605251481,1,1
00847-bCPU9suPUw9,63,footstool,203,3,1_4,-1.2684338265407145,3.1819669749948725,-0.47647371172720093,1,1
00847-bCPU9suPUw9,70,cabinet,64,3,1_4,1.660318483892477,3.533970530284423,0.6593100159299565,1,1
00847-bCPU9suPUw9,71,bed,33,3,1_4,1.21655407987696,3.3969399906271067,-0.7980173370806589,1,1
