scene_id,method,class_id,class_label,object_id,predicted_room_id,rank,score,p_det,p_view,p_mem,p_sem_q
00829-QaLdnwvtxbs,belief,0,acoustic panel,0_1_97,0_1,1,0.733043535265092,0.9556173180291294,0.9637476867161502,0.9943079157468135,0.8005003220228217
00829-QaLdnwvtxbs,belief,0,acoustic panel,0_3_216,0_3,2,0.6610448171114754,0.9690040538732901,0.9324049124909195,0.9993984880271939,0.7320859456871891
00829-QaLdnwvtxbs,belief,0,acoustic panel,0_3_305,0_3,3,0.5710472950379942,0.9877911118540185,0.9420715021559818,0.9995583389885532,0.6139244805496442
00829-QaLdnwvtxbs,belief,0,acoustic panel,0_4_92,0_4,4,0.4780192936304533,0.9902837295690153,0.9254120371459866,0.9983656208129775,0.52246959337084
00829-QaLdnwvtxbs,belief,0,acoustic panel,0_3_265,0_3,5,0.4645742664144839,0.9727750242356062,0.9464143901573858,0.9990913826746805,0.5050753691394081
00829-QaLdnwvtxbs,belief,1,air conditioner,0_3_88,0_3,1,0.007605680585580778,0.9857081498033481,0.9356065821482229,0.9988403382922301,0.00825658380942695
00829-QaLdnwvtxbs,belief,1,air conditioner,0_4_100,0_4,2,0.005979794792403869,0.9845428940661991,0.9292253720092198,0.9925254914494402,0.006585502355212948
00829-QaLdnwvtxbs,belief,1,air conditioner,0_4_22,0_4,3,0.003328941678375864,0.9261379136393467,0.907570705970522,0.998101660847278,0.00396803300044391
00829-QaLdnwvtxbs,belief,1,air conditioner,0_0_49,0_0,4,0.003222608709776556,0.9619258290783972,0.9942194117019197,0.9971866403067285,0.0033791486771461154
00829-QaLdnwvtxbs,belief,1,air conditioner,0_2_61,0_2,5,0.001278324824822637,0.9853296402427886,0.9425637664070419,0.9831661303264686,0.0013999806272591137
00829-QaLdnwvtxbs,belief,2,air freshener,0_4_82,0_4,1,0.0013876664073913829,0.9921106015443804,0.9635382904444146,0.9835741109117667,0.0014758727618942795
00829-QaLdnwvtxbs,belief,2,air freshener,0_2_79,0_2,2,0.000995734156874426,0.9708657863340816,0.9319677390333537,0.991840751321489,0.0011095359576586432
00829-QaLdnwvtxbs,belief,2,air freshener,0_4_83,0_4,3,0.0009826420086876692,0.9789907316329346,0.9578645280400937,0.9881564908472473,0.0010604420193268994
00829-QaLdnwvtxbs,belief,2,air freshener,0_4_35,0_4,4,0.0008745674652425997,0.9289367587313717,0.9085533132636621,0.9894260921831448,0.001047305521293384
00829-QaLdnwvtxbs,belief,2,air freshener,0_4_8,0_4,5,0.0006729808558939939,0.9651949381256641,0.8947576037307547,0.990038378433478,0.0007871006056838754
00829-QaLdnwvtxbs,belief,3,air hockey,0_0_29,0_0,1,0.001505218200192223,0.9745103120803833,0.9449438616336413,0.9837028875686332,0.0016616634507086133
00829-QaLdnwvtxbs,belief,3,air hockey,0_3_84,0_3,2,0.000186893479180878,0.991945722962777,0.9280513961817156,0.994164705684942,0.0002042094662789778
00829-QaLdnwvtxbs,belief,3,air hockey,0_2_61,0_2,3,0.0001463482105045592,0.9853296402427886,0.9425637664070419,0.9831661303264686,0.00016027589823959542
00829-QaLdnwvtxbs,belief,3,air hockey,0_3_83,0_3,4,0.00014588431353671622,0.9828181131851393,0.9219149879587536,0.9601051810237284,0.00016769717841280644
00829-QaLdnwvtxbs,belief,3,air hockey,0_2_71,0_2,5,0.00012699096844744545,0.9601071541173409,0.8761167328879654,0.9975666810619327,0.00015133842825532296
00829-QaLdnwvtxbs,belief,4,air purifier,0_4_100,0_4,1,0.029031745482534455,0.9845428940661991,0.9292253720092198,0.9925254914494402,0.0319724396720169
00829-QaLdnwvtxbs,belief,4,air purifier,0_0_49,0_0,2,0.010208072145258124,0.9619258290783972,0.9942194117019197,0.9971866403067285,0.010703934790846147
00829-QaLdnwvtxbs,belief,4,air purifier,0_0_96,0_0,3,0.00873510979240978,0.9727348732674168,0.9464089698602887,0.9969490871851917,0.009517481783817382
00829-QaLdnwvtxbs,belief,4,air purifier,0_3_88,0_3,4,0.006458835014955756,0.9857081498033481,0.9356065821482229,0.9988403382922301,0.007011589825813253
00829-QaLdnwvtxbs,belief,4,air purifier,0_4_80,0_4,5,0.0053492902095568775,0.9377688040936387,0.925636189829633,0.995983479744168,0.006187396076828211
00829-QaLdnwvtxbs,belief,5,aisle frame,0_1_52,0_1,1,0.09407010543517064,0.9597709609270493,0.9273244826558965,0.9974840721164893,0.10596106864739176
00829-QaLdnwvtxbs,belief,5,aisle frame,0_1_11,0_1,2,0.037716943569726026,0.9748483980972631,0.9388802624348535,0.9972459068451953,0.04132253326622966
00829-QaLdnwvtxbs,belief,5,aisle frame,0_1_75,0_1,3,0.032489539378295865,0.9723466358939356,0.9658444967842079,0.9970728213526475,0.034696714324115134
00829-QaLdnwvtxbs,belief,5,aisle frame,0_1_45,0_1,4,0.022330209018865867,0.8979178752806094,0.9212865160228453,0.998675842566233,0.027029431496009837
