scene_id,gt_object_id,gt_category,class_id,gt_room_id,predicted_room_id,gt_x,gt_y,gt_z,observed_in_walk,assigned
00829-QaLdnwvtxbs,10,fire extinguisher,182,0,0_0,6.042352158498258,0.79012758493388,-2.094377332020326,1,1
00829-QaLdnwvtxbs,11,smoke detector,427,0,0_0,6.026247725205624,2.4199032765415907,-2.1021913968636143,1,1
00829-QaLdnwvtxbs,12,unknown,516,0,0_0,6.035593850167994,2.199057305127894,-2.115049075719076,1,1
00829-QaLdnwvtxbs,13,unknown,516,0,0_0,6.023486535163904,1.5262492383961364,-2.1108050181993883,1,1
00829-QaLdnwvtxbs,16,table,464,0,0_0,6.34058431454021,0.3901750813996837,-1.1955362200967554,1,1
00829-QaLdnwvtxbs,17,clock,105,0,0_0,6.451142988137108,0.7019935205960007,-1.0857782725886116,1,1
00829-QaLdnwvtxbs,18,unknown,516,0,0_0,6.531248678413231,0.6775173741398357,-1.2841187778024645,1,1
00829-QaLdnwvtxbs,19,light,282,0,0_0,6.545771474624073,1.1622431471033512,-1.2278535203609455,1,1
00829-QaLdnwvtxbs,20,bed,33,0,0_0,5.651383070928898,0.6505198963398882,0.23965089634542444,1,1
00829-QaLdnwvtxbs,21,footstool,203,0,0_0,4.177267601015597,0.31335931766468333,0.22032000787840042,1,1
00829-QaLdnwvtxbs,22,table,464,0,0_0,6.386804812370798,0.532992581793176,1.6633880641771734,1,1
00829-QaLdnwvtxbs,23,light,282,0,0_0,6.388745545013808,0.3398730906947439,1.6470560964796643,1,1
00829-QaLdnwvtxbs,27,light,282,0,0_0,5.869004766310689,1.1183747614733597,3.3831516950835145,1,1
00829-QaLdnwvtxbs,28,sofa,431,0,0_0,4.781982566903873,0.48659157593534647,2.6045812295244897,1,1
00829-QaLdnwvtxbs,29,curtain,133,0,0_0,4.209642354177009,1.1825257141454375,3.788841910624203,1,1
00829-QaLdnwvtxbs,36,desk,142,0,0_0,2.744675219934686,0.5297599419794559,0.29243462888401145,1,1
00829-QaLdnwvtxbs,37,light,282,0,0_3,2.4451772207740925,1.2684199338642297,1.9998899001499069,1,1
00829-QaLdnwvtxbs,38,chair,97,0,0_0,3.1058526610448216,0.5621061380702916,1.4170318751743565,1,1
00829-QaLdnwvtxbs,39,bin,42,0,0_0,2.84069641012508,0.20497810487735366,0.7839773119905533,1,1
00829-QaLdnwvtxbs,40,phone,333,0,0_3,2.4202391248705784,0.8111728947591088,1.7052041326911038,1,1
00829-QaLdnwvtxbs,41,panel,320,0,0_3,2.3819818452393,1.630639636203658,0.19869510005499316,1,1
00829-QaLdnwvtxbs,42,tv,510,0,0_3,2.4301631807490143,1.4476555092266123,0.18007262905203458,1,1
00829-QaLdnwvtxbs,43,unknown,516,0,0_3,2.5126512694024896,0.8479277705530351,-0.5230270088840466,1,1
