scene_id,object_id,predicted_class_id,class_label,predicted_room_id,object_x,object_y,object_z,p_obj,p_det,p_view,p_mem,p_sem_bar,p_sem,p_coh
00829-QaLdnwvtxbs,0_0_0,82,cardboard,0_0,1.9643285932937211,1.7039620059660099,-0.6093636351548268,0.10016766946681659,0.9736616043610391,0.939735476835374,0.9967609560816079,0.10983048074737412,0.765028928701064,0.10983048074737412
00829-QaLdnwvtxbs,0_0_1,82,cardboard,0_0,4.282121063274167,2.3628242080948327,-2.419225894874584,0.6733844607409201,0.9945863227184534,0.9584116774466761,0.9993474630043154,0.7068902583973847,0.8282749635389065,0.7068902583973847
00829-QaLdnwvtxbs,0_0_10,33,bed,0_0,4.900911472928478,0.5625915594601475,0.1533200903095265,0.8007699904462978,0.9620229497440205,0.9587102164071293,0.9997931736416924,0.8684100364430037,0.8684100364430037,0.9998727163324771
00829-QaLdnwvtxbs,0_0_100,82,cardboard,0_0,2.2858148416041533,1.0303228277772136,-1.2006413852686884,0.4541855349781841,0.8843394220089335,0.9003122446983605,0.9990748993598755,0.5709829084156599,0.7962185101178468,0.5709829084156599
00829-QaLdnwvtxbs,0_0_101,82,cardboard,0_0,4.50927533319157,0.8372695947904378,2.995135513649785,0.008060769363855568,0.971682865920049,0.9546723166528128,0.9837007350067023,0.008833536857302695,0.607732856039638,0.008833536857302695
00829-QaLdnwvtxbs,0_0_102,545,wood,0_0,6.389624278018751,0.10672883683148342,1.1347409159155948,0.18760700052675103,0.9647081651508119,0.9196356892104713,0.9921487403781908,0.21313780224591233,0.5412690736117546,0.21313780224591233
00829-QaLdnwvtxbs,0_0_103,82,cardboard,0_0,2.4650624915711217,2.5163592164530644,-0.9855746886271752,0.15369456730974582,0.9654861308115252,0.9367844651540156,0.9970825612933427,0.1704282860032977,0.8322807334559107,0.1704282860032977
00829-QaLdnwvtxbs,0_0_11,337,pillow,0_0,6.289038522848344,0.8848649633458457,0.30958783492596526,0.9099259435812036,0.9870990333903548,0.9428583837742431,0.999519762288336,0.9781545256903961,0.9781545256903961,
00829-QaLdnwvtxbs,0_0_12,133,curtain,0_0,4.396397408446082,1.2667901780290547,3.8002753845941024,0.9196928988169221,0.971462017253097,0.9584802846781622,0.9959476968677177,0.9917387722951898,0.9917387722951898,0.9999832351046204
00829-QaLdnwvtxbs,0_0_13,431,sofa,0_0,4.651306575634198,0.4946480516603894,2.5023699867476155,0.8036853448678298,0.9606587046113932,0.9834343371228513,0.999181194010566,0.8513875743525159,0.8513875743525159,0.9535515658195975
00829-QaLdnwvtxbs,0_0_14,195,foam,0_0,2.812958070345825,0.5770810266127189,0.39183607956393934,0.5274998371456975,0.9442835123248635,0.9521573720293862,0.9992180925994414,0.5871524802638319,0.5871524802638319,0.7885902760465002
00829-QaLdnwvtxbs,0_0_15,326,partial,0_0,6.050787319718391,1.4713162294302387,2.8676451179157354,0.48262145633623316,0.9744936436414718,0.907785794784042,0.9981647417017158,0.5465652388843907,0.5938767792596839,0.5465652388843907
00829-QaLdnwvtxbs,0_0_16,326,partial,0_0,6.415671194563052,1.5191092329955755,2.1418894017006482,0.6893917313501114,0.9678246026300087,0.999696454277557,0.9968240281542549,0.7147970680744987,0.7147970680744987,0.9003902513870278
00829-QaLdnwvtxbs,0_0_17,545,wood,0_0,2.590083009795472,0.0020855368198661175,-0.8973465009217716,0.5092954455515326,0.9725988410577909,0.9578221353848322,0.9982434030717537,0.5476646713898286,0.5476646713898286,0.943636609669015
00829-QaLdnwvtxbs,0_0_18,82,cardboard,0_0,5.861605266890248,1.2151914176599368,-2.202429342568463,0.6616496999298767,0.9725101582540405,0.9313436926546915,0.9996541631324926,0.7307590739386063,0.9236233840425767,0.7307590739386063
00829-QaLdnwvtxbs,0_0_19,545,wood,0_0,5.94495116773109,0.060365256530091595,-2.1716033621818673,0.5382723698797602,0.9371581381654339,0.9624569398155203,0.9986683994733202,0.5975669786027608,0.5975669786027608,0.6274047999751143
00829-QaLdnwvtxbs,0_0_2,82,cardboard,0_0,2.4365635462717807,2.5241230779687904,-1.0673228165279112,0.09838978085025,0.9634669577293654,0.924449089901435,0.9967548692818181,0.11082603683473877,0.7649530503012594,0.11082603683473877
