scene_id,object_id,predicted_class_id,class_label,predicted_room_id,object_x,object_y,object_z,p_obj,p_det,p_view,p_mem,p_sem_bar,p_sem,p_coh
00843-DYehNKdT76V,0_0_0,478,tile,0_0,2.288029913941683,0.23696466369938154,-1.5024351317741764,0.8338474027208217,0.9785505551959849,0.9177842966343759,0.9986668908659572,0.9296983030528049,0.9296983030528049,0.9982765509187237
00843-DYehNKdT76V,0_0_1,478,tile,0_0,0.9608886350791949,0.0009558801542867242,-1.4941033839254567,0.8281517219508744,0.9450834652957938,0.8974048368888743,0.9990789140741683,0.9773532130869624,0.9773532130869624,0.999139913233045
00843-DYehNKdT76V,0_0_10,221,glass,0_0,2.559531493911386,2.135092789590111,-0.07274474512478363,0.47753920448296117,0.9691797300334094,0.9009583595900308,0.9989012385015131,0.5474915722120923,0.5474915722120923,0.972544884388481
00843-DYehNKdT76V,0_0_100,478,tile,0_0,2.2972228053399375,0.0021713225167166936,-1.4279173920993646,0.7307959617690046,0.9020743765330717,0.9222115493206458,0.997880059377818,0.8803287613874661,0.8803287613874661,0.9955072599001541
00843-DYehNKdT76V,0_0_101,180,fan,0_0,1.8252356866384642,2.761533789476119,-2.4945922674312926,0.542023968326331,0.9752812408203979,0.925048427674542,0.9902461044195359,0.6067097982808706,0.6067097982808706,
00843-DYehNKdT76V,0_0_102,9,appliance,0_0,4.58512194398966,1.6759187861873468,-2.513081669413975,0.5725863004324407,0.9615525275664146,0.9240204314611016,0.9962270382349404,0.6468864292643207,0.6468864292643207,0.9994817841476457
00843-DYehNKdT76V,0_0_103,93,ceiling chassis,0_0,2.69075567199439,2.8803983010459127,-1.8965814062843793,0.7363912636108089,0.961364073251921,0.9369432783299652,0.9958606814383448,0.8209351541035581,0.8209351541035581,0.9709258905925869
00843-DYehNKdT76V,0_0_104,326,partial,0_0,1.071488317468144,2.2863472158292453,0.1433067672081984,0.44055856927827297,0.9596495913921131,0.9077737739764782,0.991779755118318,0.509915366538917,0.509915366538917,0.6012377296127417
00843-DYehNKdT76V,0_0_105,316,overhang,0_0,1.1372271973838703,2.5100160562125025,-3.0994444470350877,0.481214972064419,0.9292734792156677,0.9194204673874167,0.9907131275962457,0.5685039716468729,0.7092350896158218,0.5685039716468729
00843-DYehNKdT76V,0_0_106,221,glass,0_0,1.4777318968743298,1.3470982184799707,-3.082474928764761,0.44178568534957674,0.8734825157789274,0.9299932645869673,0.998496975436384,0.5446667534479108,0.8159668059860486,0.5446667534479108
00843-DYehNKdT76V,0_0_107,82,cardboard,0_0,2.4491181970938314,2.27580308556995,-3.106847961396682,0.19514572156698756,0.9687179246741116,0.8974824344781945,0.994185907515819,0.2257709904637517,0.6410082464689018,0.2257709904637517
00843-DYehNKdT76V,0_0_108,326,partial,0_0,0.7396861700444827,1.0570738576296184,-1.2209140247472947,0.43227360984071167,0.9687822799887688,0.9130841392268274,0.9948936048137064,0.49118500279483157,0.7573135147652849,0.49118500279483157
00843-DYehNKdT76V,0_0_109,478,tile,0_0,1.1316589953083598,0.000925248599679693,-1.4774547089843348,0.8284082571693618,0.9258784038490719,0.9118008812908556,0.9992891056843234,0.9819724521533285,0.9819724521533285,0.9990496596809811
